uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
82,080237000087,Platte Canyon High School,0802370,"Platte Canyon, School District No. 1, Of The County Of Park",9/27/2006,2006-2007,2006,11:40 AM,Wednesday,Bailey,Colorado,public,476,1,0,1,targeted,53,m,w,,1,suicide,,,,,,,424,4,28,7,13,,,0,".40 S&W caliber Glock 22 pistol, Smith & Wesson .357-caliber revolver",,39.45566,-105.64543,26.2,9,12,82,Park County,08,08093,43
83,551647002155,Weston High School,5516470,Weston,9/29/2006,2006-2007,2006,8:10 AM,Friday,Cazenovia,Wisconsin,public,119,1,0,1,targeted,15,m,w,student,0,,,,,,,,117,2,0,0,0,,,0,"long-barrel shotgun, 22-pistol",father,43.48211,-90.19016,10.5,9,12,35,Sauk County,55,55111,43
84,,West Nickel Mines Amish School,,,10/2/2006,2006-2007,2006,11:07 AM,Monday,Nickel Mines,Pennsylvania,private,26,5,5,10,targeted,32,m,w,none; worked in community,1,suicide,,,,,,,26,0,0,0,0,,,0,"9mm handgun, a shotgun, a 30.06 rifle",purchased legally by shooter,39.960081,-76.084367,,,,,Lancaster County,42,42071,
85,291635002429,Memorial Middle School,2916350,Joplin R-VIII,10/9/2006,2006-2007,2006,7:45 AM,Monday,Joplin,Missouri,public,699,0,0,0,indiscriminate,13,m,w,student,0,,,,,,,,591,43,49,7,9,,,0,MAC 90 7.26 mm assault rifle,parent,37.08277,-94.51586,50.3,6,8,312,Jasper County,29,29097,13
86,530870001466,Henry Foss High School,5308700,Tacoma School District,1/3/2007,2006-2007,2007,7:30 AM,Wednesday,Tacoma,Washington,public,1749,1,0,1,targeted,18,m,,student,0,,,,,,,,692,535,139,354,29,,,0,handgun,,47.24114,-122.49364,85.4,9,12,884,Peirce County,53,53053,12
87,390437500382,Robert A. Taft Information Technology High School,3904375,Cincinnati City,1/8/2007,2006-2007,2007,10:45 AM,Monday,Cincinnati,Ohio,public,745,0,0,0,targeted,16,m,,student,0,,,,,,,,20,715,0,0,0,,,0,,,39.10911,-84.52183,46,9,12,397,Hamilton County,39,39061,11
88,421899003825,William L.Sayre High School,4218990,Philadelphia City SD,1/18/2007,2006-2007,2007,8:25 AM,Thursday,Philadelphia,Pennsylvania,public,655,0,1,1,targeted,,m,,,0,,,,,,,,1,647,5,1,1,,,1,9 mm semi-automatic Ruger,,39.95793,-75.2374,40.4,7,12,572,Philadelphia County,42,42101,11
89,262382006068,Herbert Henry Dow High School,2623820,Midland Public Schools,3/7/2007,2006-2007,2007,10:57 AM,Wednesday,Midland,Michigan,public,1593,0,1,1,targeted,17,m,w,girlfriend was student,1,suicide,,,,,,,1475,32,26,56,4,,,0,.44 caliber handgun,,43.64091,-84.27414,78.6,8,12,201,Midland County,26,26111,31
90,170993000943,Chicago Vocational Career Academy,1709930,City Of Chicago Sd 299,4/9/2007,2006-2007,2007,2:30 PM,Monday,Chicago,Illinois,public,2020,0,1,1,accidental,15,m,,student,0,,,,,,,,2,1993,7,0,1,,,0,9mm handgun,,41.7372,-87.57236,105,9,12,1930,Cook County,17,17031,11
91,410600004183,Springwater Trail High School,4106000,Gresham-Barlow Sd 10J,4/10/2007,2006-2007,2007,2:15 PM,Tuesday,Gresham,Oregon,public,163,0,10,10,indiscriminate,15,m,,student,0,,,,,,,,133,3,17,3,4,,,0,.270 Winchester rifle with scope,stepfather,45.48655,-122.40894,11.8,9,12,51,Multnomah County,41,41051,21
92,482829010477,Liberty Memorial Middle School,4828290,Los Fresnos CISD,5/15/2007,2006-2007,2007,10:00 AM,Tuesday,Los Fresnos,Texas,public,505,0,0,0,indiscriminate,14,m,,student,0,,,,,,,,18,0,487,0,0,,,0,.38 semiautomatic handgun,father,26.1106,-97.5108,35,6,8,187,Cameron County,48,48061,41
93,120087003862,George S. Middleton High School,1200870,Hillsborough,6/6/2007,2006-2007,2007,12:00 PM,Wednesday,Tampa,Florida,public,1799,0,0,0,targeted,17,m,,former student,0,,,,,,,,268,1256,202,29,4,,,1,.22-caliber handgun,,27.99133,-82.43267,91,9,12,1091,Hillsborough County,12,12057,11
94,390437804449,SuccessTech Academy,3904378,Cleveland Municipal City,10/10/2007,2007-2008,2007,1:15 PM,Wednesday,Cleveland,Ohio,public,260,0,4,4,indiscriminate,14,m,,student,1,suicide,,,,,,,22,227,9,0,1,,,1,".22-caliber revolver, .38-caliber revolver",,41.50762,-81.6869,14,9,12,,Cuyahoga County,39,39035,11
95,130102000413,Groves High School,1301020,Chatham County,10/15/2007,2007-2008,2007,2:45 PM,Monday,Garden City,Georgia,public,1534,0,0,0,targeted,,m,,,0,,,,,,,,381,997,89,37,3,,,0,,,32.10841,-81.15661,90,9,12,799,Chatham County,13,13051,22
96,370012202591,Crossroads Charter High School,3700122,Crossroads Charter High,1/16/2008,2007-2008,2008,10:15 AM,Wednesday,Charlotte,North Carolina,public,244,0,1,1,accidental,16,m,b,student,0,,,,,,,,5,230,8,0,1,,,0,,,35.26039,-80.77591,13,9,12,,Mecklenburg County,37,37119,11
97,470294001080,Hamilton High School,4702940,Memphis City School District,2/4/2008,2007-2008,2008,10:00 AM,Monday,Memphis,Tennessee,public,1581,0,1,1,targeted,16,m,,student,0,,,,,,,,4,1577,0,0,0,,,0,380-caliber handgun,,35.10069,-90.0174,87.9,9,12,863,Shelby County,47,47157,11
98,1059778,Notre Dame Elementary School,,,2/7/2008,2007-2008,2008,9:12 AM,Thursday,Portsmouth,Ohio,private,166,0,1,1,targeted,56,m,w,spouse of teacher,1,suicide,,,,,,,158,3,1,0,4,,,0,,,38.735563,-82.986607,14,PK,6,,Scioto County,39,39145,31
99,470294001122,Mitchell High School,4702940,Memphis City School District,2/11/2008,2007-2008,2008,9:00 AM,Monday,Memphis,Tennessee,public,1110,0,1,1,targeted,17,m,,student,0,,,,,,,,0,1109,0,1,0,,,1,.22-caliber pistol,purchased from someone in apartment complex,35.05595,-90.08589,53.8,9,12,787,Shelby County,47,47157,11
100,061785002199,E.O. Green Junior High School,0617850,Hueneme Elementary,2/12/2008,2007-2008,2008,8:15 AM,Tuesday,Oxnard,California,public,1065,1,0,1,targeted,14,m,,student,0,,,,,,,,125,49,829,58,4,,,0,.22-caliber handgun,relative,34.16568,-119.1814,50,6,8,775,Ventura County,06,06111,12
101,,Friends of Children Head Start center,,,3/18/2008,2007-2008,2008,1:00 PM,Tuesday,Carthage,Mississippi,private,100,1,1,2,targeted,23,,,,,,,,,,,,,,,,,,,0,.45-caliber handgun,,,,,PK,PK,,Leake County,28,28079,32
102,061455001762,Roosevelt High School,0614550,Fresno Unified,4/16/2008,2007-2008,2008,11:54 AM,Wednesday,Fresno,California,public,2735,1,0,1,targeted,38,m,,resource officer,0,,,,,,,,130,112,2039,444,10,,,1,pistol,department issued,36.74302,-119.7537,137.6,9,12,2466,Fresno County,06,06019,11
103,470222000775,Central High School,4702220,Knox County School District,8/21/2008,2008-2009,2008,8:10 AM,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15,m,,student,0,,,,,,,,872,254,55,25,4,,,1,"small-caliber, semiautomatic pistol",,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12
104,120018000169,Dillard High School,1200180,Broward,11/12/2008,2008-2009,2008,11:00 AM,Wednesday,Fort Lauderdale,Florida,public,1758,1,0,1,targeted,15,f,b,student,0,,,,,,,,80,1576,76,6,1,,,1,.22-caliber semi-automatic handgun,family member,26.1383,-80.176,149.4,9,12,1193,Broward County,12,12011,12
105,261200004670,Central High School,2612000,Detroit City School District,2/17/2009,2008-2009,2009,2:00 PM,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17,m,,non-student,0,,,,,,,,4,913,0,0,2,,,1,handgun,,42.3837,-83.1115,57.2,9,12,640,Wayne County,26,26163,11
106,061674002125,John Muir Elementary School,0616740,Hayward Unified,2/20/2009,2008-2009,2009,12:00 PM,Friday,Hayward,California,public,354,0,0,0,targeted,,h,m,,0,,,,,,,,13,54,252,34,1,,,0,shotgun,,37.6566,-122.083,20.4,KG,6,,Alameda County,06,06001,12
107,120048000691,Ribault High School,1200480,Duval,3/10/2009,2008-2009,2009,7:22 AM,Tuesday,Jacksonville,Florida,public,1131,0,0,0,targeted,,,,,0,,,,,,,,53,1051,15,2,0,,,0,,,30.3895,-81.707,67.4,9,12,609,Duval County,12,12031,11
108,220090000711,Larose-Cut Off Middle School,2200900,Lafourche Parish,5/18/2009,2008-2009,2009,9:00 AM,Monday,Larose,Louisiana,public,512,0,0,0,targeted,15,m,,student,1,suicide,,,,,,,405,28,23,15,41,,,0,25-caliber nickel plate semi-automatic,father,29.5004,-90.3295,37.8,6,8,265,Lafourche Parish,22,22057,41
109,090003101405,Stamford Academy,0900031,Stamford Academy,9/8/2009,2009-2010,2009,8:05 AM,Tuesday,Stamford,Connecticut,public,131,0,0,0,targeted,16,m,,student,0,,,,,,,,7,89,33,2,0,,,0,.22-caliber pistol,,41.059329,-73.536464,8,9,12,111,Fairfield County,09,09001,12
110,510189000805,Virginia Randolph Community High School,5101890,Henrico Co Pblc Schs,9/16/2009,2009-2010,2009,12:30 PM,Wednesday,Glen Allen,Virginia,public,292,0,0,0,targeted,16,m,,student,0,,,,,,,,66,186,13,3,0,,,0,.40-caliber handgun,,37.661586,-77.483135,30.18,8,12,237,Henrico County,51,51087,21
111,360002101704,Mattituck Junior-Senior High School,3600021,Mattituck-Cutchogue Union Free School District,10/8/2009,2009-2010,2009,2:00 PM,Thursday,Mattituck,New York,public,812,0,1,1,accidental,28,m,,,0,,,,,,,,736,24,43,8,0,0,0,0,22-caliber rifle,mother,40.996241,-72.529205,68.28,7,12,86,Suffolk County,36,36103,31
112,450249000244,Carolina Forest High School,4502490,Horry 01,10/16/2009,2009-2010,2009,8:25 AM,Friday,Conway,South Carolina,public,1958,1,0,1,targeted,,m,w,school resource officer,0,,,,,,,,1400,309,124,60,25,,,1,.40 caliber Glock,department issued,33.780761,-78.97152,102.5,9,12,901,Horry County,45,45051,41
113,220030000208,Booker T. Washington High School,2200300,Caddo Parish,12/11/2009,2009-2010,2009,8:10 AM,Friday,Shreveport,Louisiana,public,336,0,1,1,targeted,28,m,b,ex-boyfriend of student,0,,,,,,,,1,335,0,0,0,,,1,handgun,,32.503605,-93.77398,34.55,9,12,278,Caddo Parish,22,22017,12
114,010000800495,Discovery Middle School,0100008,Madison City,2/5/2010,2009-2010,2010,1:45 PM,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14,m,a,student,0,,,,,,,,707,188,27,50,8,,,1,.22-caliber pistol,friend's home,34.740322,-86.741148,54.5,7,9,176,Madison County,01,01089,22
115,080480001315,Deer Creek Middle School,0804800,Jefferson County School District No. R-1,2/23/2010,2009-2010,2010,3:14 PM,Tuesday,Littleton,Colorado,public,516,0,2,2,indiscriminate,32,m,w,,0,,,,,,,,436,7,46,23,4,,,0,hunting rifle,,39.5869,-105.102,28.2,7,8,60,Jefferson County,08,08059,21
116,510300001255,Woodrow Wilson High School,5103000,Portsmouth City Pblc Schs,4/28/2010,2009-2010,2010,12:15 PM,Wednesday,Portsmouth,Virginia,public,1309,0,0,0,indiscriminate,15,m,b,student,0,,,,,,,,446,818,22,19,4,,,0,handgun,,36.815009,-76.381349,64.33,9,12,695,Portsmouth City,51,51740,12
117,062271003364,South Gate High School,0622710,Los Angeles Unified,5/18/2010,2009-2010,2010,7:51 AM,Tuesday,South Gate,California,public,3289,0,1,1,targeted,15,m,,student,0,,,,,,,,12,11,3251,3,10,0,2,0,,,33.954604,-118.209757,126.1,9,12,2373,Los Angeles County,06,06037,21
118,470399001624,Sullivan Central High School,4703990,Sullivan County,8/30/2010,2010-2011,2010,9:10 AM,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,,,,police officer,0,,,,,,,,1097,7,6,3,1,0,1,1,handgun,department issued,36.531336,-82.387049,67.7,9,12,386,Sullivan County,47,47163,41
119,450249000639,Socastee High School,4502490,Horry 01,9/21/2010,2010-2011,2010,2:00 PM,Tuesday,Conway,South Carolina,public,1453,0,1,1,targeted,14,m,w,student,0,,,,,,,,1143,119,98,37,1,5,50,1,revolver,parent,33.6788,-79.004328,80.8,9,12,678,Horry County,45,45051,22
120,063398005332,Alisal High School,0633980,Salinas Union High,10/1/2010,2010-2011,2010,7:53 AM,Friday,Salinas,California,public,2478,1,0,1,targeted,,m,,,0,,,,,,,,14,10,2420,28,1,5,0,0,,,36.686184,-121.595961,,3,12,1869,Monterey County,06,06053,12
121,060750000711,Kelly Elementary School,0607500,Carlsbad Unified,10/8/2010,2010-2011,2010,12:00 PM,Friday,Carlsbad,California,public,477,0,2,2,indiscriminate,41,m,w,none,0,,,,,,,,314,12,67,36,3,0,45,0,.357-caliber magnum revolver,,33.14836,-117.311227,,KG,5,45,San Diego County,06,06073,12
122,550870000995,Marinette High School,5508700,Marinette School District,11/29/2010,2010-2011,2010,1:30 PM,Monday,Marinette,Wisconsin,public,690,0,0,0,hostage suicide,15,m,w,student,1,suicide,,,,,,,658,4,17,2,8,1,0,0,handgun,,45.084351,-87.629512,44.69,9,12,283,Marinette County,55,55075,41
123,317374001251,Millard South High School,3173740,Millard Public Schools,1/5/2011,2010-2011,2011,12:45 PM,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted and indiscriminate,17,m,b,student,1,suicide,,,,,,,1668,79,186,32,12,6,60,0,Glock .40-caliber S&W pistol,father,41.203481,-96.146049,135.5,9,12,475,Douglas County,31,31055,11
124,062271003034,Gardena High School,0622710,Los Angeles Unified,1/18/2011,2010-2011,2011,10:40 AM,Tuesday,Los Angeles,California,public,2299,0,2,2,accidental,17,m,,student,0,,,,,,,,22,610,1490,140,9,,,0,9-mm Beretta handgun,,33.866372,-118.29633,,8,12,1556,Los Angeles County,06,06037,13
125,063078004786,Louisiana Schnell Elementary School,0630780,Placerville Union Elementary,2/2/2011,2010-2011,2011,10:37 AM,Wednesday,Placerville,California,public,424,1,0,1,targeted,44,m,w,janitor,0,,,,,,,,259,2,121,3,8,0,31,0,.357-caliber revolver,legally purchased by shooter,38.735106,-120.779419,,KG,5,264,El Dorado County,06,06017,32
126,180651001136,Martinsville West Middle,1806510,M S D Martinsville Schools,3/25/2011,2010-2011,2011,7:00 AM,Friday,Martinsville,Indiana,public,584,0,1,1,targeted,15,m,w,former student (expelled),0,,,,,,,,555,0,13,2,2,0,12,0,9mm handgun,friend's home,39.420621,-86.427053,38.97,6,8,354,Morgan County,18,18109,31
127,120144003884,Sheeler Charter High School,1201440,Orange,4/13/2011,2010-2011,2011,12:00 PM,Wednesday,Apopka,Florida,public,465,0,1,1,accidental,17,m,b,,0,,,,,,,,104,250,101,2,1,0,7,1,,,28.673157,-81.494124,7,9,12,183,Orange County,12,12065,21
128,482364002572,Ross Elementary School,4823640,Houston ISD,4/19/2011,2010-2011,2011,10:20 AM,Tuesday,Houston,Texas,public,462,0,2,2,accidental,6,m,,student,0,,,,,,,,1,301,145,2,9,1,3,0,.380-caliber semi-automatic,"mother's friend, home shooter was staying",29.800326,-95.341835,27.32,PK,5,263,Harris County,48,48201,11
129,370001100402,Cape Fear High School,3700011,Cumberland County Schools,10/24/2011,2011-2012,2011,1:00 PM,Monday,Fayetteville,North Carolina,public,1575,0,1,1,targeted,15,m,,student,0,,,,,,,,913,437,83,9,71,3,59,0,.22-caliber Daisy rifle,,35.034044,-78.762384,93.86,9,12,690,Cumberland County,37,37051,41
130,481168000648,Cummings Middle School,4811680,Brownsville ISD,1/4/2012,2011-2012,2012,8:00 AM,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,,m,,police officer,0,,,,,,,,3,0,742,0,1,0,0,0,,department issued,25.913899,-97.493734,49.47,6,8,0,Cameron County,48,48061,12
131,483306003674,North Forest High School,4833060,North Forest ISD,1/10/2012,2011-2012,2012,12:30 PM,Tuesday,Houston,Texas,public,1274,0,1,1,targeted,18,m,,student,0,,,,,,,,8,868,395,0,2,1,0,1,handgun,,29.868788,-95.26259,88.68,9,12,1271,Harris County,48,48201,11
132,330299000122,Walpole Elementary School,3302990,Fall Mountain Regional School District,2/10/2012,2011-2012,2012,11:00 AM,Friday,Walpole,New Hampshire,public,149,0,0,0,public suicide (attempted),14,m,,student,0,,,,,,,,139,0,5,1,1,0,3,0,20-gauge shotgun,,43.078915,-72.426439,15.3,5,8,42,Cheshire County,33,33005,42
133,530066000135,Armin Jahr Elementary School,5300660,Bremerton School District,2/22/2012,2011-2012,2012,1:30 PM,Wednesday,Bremerton,Washington,public,411,0,1,1,accidental,9,m,w,student,0,,,,,,,,193,24,69,19,5,22,79,0,.45 caliber handgun,mother,47.593761,-122.63622,25.16,KG,5,310,Kitsap County,53,53035,13
134,390471802789,Chardon High School,3904718,Chardon Local,2/27/2012,2011-2012,2012,7:30 AM,Monday,Chardon,Ohio,public,1058,3,3,6,indiscriminate,17,m,w,"student at neighboring school, rode bus with some victims",0,,,,,,,,1028,5,9,4,4,0,8,0,Ruger MK III .22 caliber semi-automatic handgun,uncle,41.591297,-81.199958,58,9,12,193,Geauga County,39,39055,31
135,259508,Episcopal School of Jacksonville,,,3/6/2012,2011-2012,2012,1:15 PM,Tuesday,Jacksonville,Florida,private,869,1,0,1,targeted,28,m,w,fired teacher,1,suicide,,,,,,,753,44,25,5,3,0,39,0,AK-47 assault-style rifle,legally purchased at gun show,30.308617,-81.617917,92.8,6,12,,Duval County,12,12031,11
136,010237000962,LeFlore High School,0102370,Mobile County,3/15/2012,2011-2012,2012,10:50 AM,Thursday,Mobile,Alabama,public,921,0,0,0,targeted,16,m,b,suspended student from different campus,0,,15,m,,,0,,5,912,2,0,1,0,1,0,handgun,,30.714209,-88.086526,56,8,12,774,Mobile County,01,01097,12
137,370072002474,Mary Scroggs Elementary School,3700720,Chapel Hill-Carrboro Schools,5/25/2012,2011-2012,2012,2:00 PM,Friday,Chapel Hill,North Carolina,public,614,1,0,1,targeted,49,m,,parent of students,0,,,,,,,,325,32,106,66,1,0,84,0,Charter Arms .44 Bulldog revolver,,35.879122,-79.068506,42.73,KG,5,135,Orange County,37,37135,13
138,240012000446,Perry Hall High School,2400120,Baltimore County Public Schools,8/27/2012,2012-2013,2012,10:45 AM,Monday,Baltimore,Maryland,public,2209,0,1,1,indiscriminate,15,m,w,student,0,,,,,,,,1361,508,79,213,2,1,45,1,shotgun,,39.39186,-76.466091,129.6,9,12,550,Baltimore County,24,24005,21
139,172862003002,Normal Community High School,1728620,Mclean County USD 5,9/7/2012,2012-2013,2012,8:00 AM,Friday,Normal,Illinois,public,1895,0,0,0,indiscriminate,14,m,w,student,0,,,,,,,,1314,196,145,124,8,5,103,0,.22-caliber Ruger pistol,,40.533285,-88.914486,164,9,12,409,Mclean County,17,17113,41
140,090291000617,Sandy Hook Elementary School,902910,Newtown School District,12/14/2012,2012-2013,2012,9:35 AM,Friday,Newtown,Connecticut,public,454,26,2,28,indiscriminate,20,m,w,former student,1,suicide,,,,,,,389,15,22,23,0,0,5,0,Bushmaster XM15-E2S rifle,mother,41.41978,-73.277751,35.76,KG,4,23,Fairfield County,09,09001,22
141,A0300763,Apostolic Revival Center and Christian School,,,1/7/2013,2012-2013,2013,11:00 AM,Monday,Fort Myers,Florida,private,22,1,0,1,targeted,,,,,0,,,,,,,,0,22,0,0,0,0,0,0,,,26.64062,-81.834212,3,PK,7,,Lee County,12,12071,13
142,063873006511,Taft Union High School,0638730,Taft Union High,1/10/2013,2012-2013,2013,9:00 AM,Thursday,Taft,California,public,939,0,2,2,targeted,16,m,w,student,0,,,,,,,,487,9,384,6,22,12,19,0,12-gauge shotgun,older brother,35.146256,-119.460383,62.89,9,12,502,Kern County,06,06029,32
143,130012000060,Price Middle School,1300120,Atlanta Public Schools,1/31/2013,2012-2013,2013,1:50 PM,Thursday,Atlanta,Georgia,public,403,0,1,1,targeted,15,m,,student,0,,,,,,,,0,380,20,0,0,0,3,1,small-caliber handgun,,33.708772,-84.387442,36,6,8,384,Fulton County,13,13121,11
144,1056711,La Salle High School,,,4/29/2013,2012-2013,2013,8:00 AM,Monday,Cincinnati,Ohio,private,708,0,0,0,public suicide,17,m,,student,0,,,,,,,,613,71,4,3,0,0,17,0,.45-caliber semi-automatic handgun,family member,39.189162,-84.586704,40.1,9,12,,Hamilton County,39,39061,21
145,120039000578,Redland Middle School,1200390,Dade,5/23/2013,2012-2013,2013,,Thursday,Homestead,Florida,public,493,0,1,1,accidental,11,m,,student,0,,,,,,,,44,185,257,3,0,0,4,0,.38 caliber handgun,,25.5369,-80.453001,30,6,8,448,Miami-Dade County,12,12086,41
146,130174003766,Ronald E. McNair Discovery Learning Academy,1301740,Dekalb County,8/20/2013,2013-2014,2013,12:51 PM,Tuesday,Decatur,Georgia,public,822,0,0,0,targeted and indiscriminate,20,m,w,none apparent,0,,,,,,,,9,786,23,0,0,0,4,0,".762-caliber AK-47-style weapon, manufactured by Romarm/Cugar",acquaintence of shooter,33.7273,-84.3068,47.8,PK,5,810,Dekalb County,13,13089,21
147,370150000592,Carver High School,3701500,Winston Salem/Forsyth County Schools,8/30/2013,2013-2014,2013,2:25 PM,Friday,Winston-Salem,North Carolina,public,565,0,1,1,targeted,18,m,b,student,0,,,,,,,,23,411,96,4,2,1,28,1,.38 caliber handgun,,36.1343,-80.2066,43.01,9,12,502,Forsyth County,37,37067,12
148,A0300751,Agape Christian Academy,,,10/4/2013,2013-2014,2013,2:00 PM,Friday,Pine Hills,Florida,private,331,0,2,2,targeted,,,,none,0,,,,,,,,3,259,4,0,0,65,0,0,,,28.57586,-81.475051,22,K,12,,Orange County,12,12095,21
149,480894000327,Lanier High School,4808940,Austin ISD,10/15/2013,2013-2014,2013,12:04 PM,Tuesday,Austin,Texas,public,1554,0,0,0,public suicide,16,m,h,student,1,suicide,,,,,,,61,138,1273,51,15,0,16,1,handgun,,30.3606,-97.708,108.34,9,12,613,Travis County,48,48453,11
150,320048000247,Sparks Middle School,3200480,Washoe County School District,10/21/2013,2013-2014,2013,7:15 AM,Monday,Sparks,Nevada,public,721,1,2,3,indiscriminate,12,m,h,student,1,suicide,,,,,,,146,13,501,26,4,9,22,0,Ruger SR9C semi-automatic handgun (9mm),father,39.5517,-119.7694,35,7,8,538,Washoe County,32,32031,21
151,060846000845,Newman Elementary School,0608460,Chino Valley Unified,10/23/2013,2013-2014,2013,11:14 AM,Wednesday,Chino,California,public,745,0,3,3,accidental,8,m,,student,0,,,,,,,,75,17,627,21,0,0,5,1,AR-15,police weapon,34.0271,-117.7144,25.5,KG,6,543,San Bernardino County,06,06071,13
152,120144001454,West Orange High School,1201440,Orange,12/4/2013,2013-2014,2013,1:15 PM,Wednesday,Winter Garden,Florida,public,3749,0,1,1,targeted,17,m,b,student,0,,,,,,,,1927,594,898,211,28,11,80,1,,,28.5428,-81.5673,158,9,12,1255,Orange County,12,12095,21
153,080531000873,Arapahoe High School,0805310,"Littleton, School District No. 6, In The County Of Arapahoe",12/13/2013,2013-2014,2013,12:30 PM,Friday,Centennial,Colorado,public,2273,1,0,1,targeted,18,m,w,student,1,suicide,,,,,,,1879,26,225,57,9,3,74,1,Savage Arms Stevens Model 320 pump-action shotgun,legally purchased by shooter at Cabela's,39.5817,-104.9628,98.96,9,12,200,Arapahoe County,08,08005,21
154,470258002032,Liberty Technology Magnet High School,4702580,Madison County,1/9/2014,2013-2014,2014,2:21 PM,Thursday,Jackson,Tennessee,public,802,0,1,1,targeted,16,m,b,student,0,,,,,,,,275,503,15,2,2,0,5,0,handgun,,35.675,-88.7593,60.3,9,12,561,Madison County,47,47113,41
155,350225000506,Berrendo Middle School,3502250,Roswell Independent Schools,1/14/2014,2013-2014,2014,7:30 AM,Tuesday,Roswell,New Mexico,public,632,0,3,3,targeted,12,m,w,student,0,,,,,,,,311,6,302,9,1,2,1,1,shotgun,,33.4736,-104.5115,36.5,6,8,365,Chaves County,35,35005,41
156,421314005056,King Elementary School,4213140,Lancaster SD,1/15/2014,2013-2014,2014,2:48 PM,Wednesday,Lancaster,Pennsylvania,public,540,0,0,0,unclear,,,,,0,,,,,,,,20,69,425,7,0,0,19,1,handgun,,40.0344,-76.2998,40.2,PK,5,498,Lancaster County,42,42071,13
157,420007800563,Delaware Valley Charter School,4200078,Delaware Valley CHS,1/17/2014,2013-2014,2014,3:20 PM,Friday,Philadelphia,Pennsylvania,public,680,0,2,2,accidental or targeted,17,m,b,student,0,,,,,,,,0,675,5,0,0,0,0,1,handgun,purchased from friend,40.0331,-75.1446,42,9,12,512,Philadelphia County,42,42101,11
158,,Rebound High School,1708370,Carbondale CHSD 165,1/27/2014,2013-2014,2014,12:00 PM,Monday,Carbondale,Illinois,public,100,0,1,1,targeted,18,m,b,student,0,,,,,,,,,,,,,,,0,handgun,,37.727439,-89.227812,,9,12,,Jackson County,17,17077,13
159,150003000186,President Theodore Roosevelt High,1500030,Hawaii Department Of Education,1/28/2014,2013-2014,2014,8:30 AM,Tuesday,Honolulu,Hawaii,public,1416,0,1,1,targeted,,,,police officer,0,,,,,,,,72,17,36,846,6,338,97,0,,department issued,21.3104,-157.8372,77,9,12,588,Honolulu County,15,15003,11
160,410198000270,Bend High School,4101980,Bend-Lapine Administrative SD 1,2/7/2014,2013-2014,2014,12:00 PM,Friday,Bend,Oregon,public,1642,0,0,0,public suicide,17,m,,student,1,suicide,,,,,,,1368,21,180,25,23,4,21,0,hunting rifle,legally owned by shooter,44.0523,-121.2959,62.77,9,12,1368,Deschutes County,41,41017,13
161,370405002253,Salisbury High School,3704050,Rowan-Salisbury Schools,2/10/2014,2013-2014,2014,2:41 PM,Monday,Salisbury,North Carolina,public,858,0,1,1,targeted,17,m,b,,0,,,,,,,,274,399,140,22,5,0,18,1,9mm gun (type unknown),,35.6648,-80.4849,54.53,9,12,577,Rowan County,37,37159,22
162,291640003220,Success Academy,2916400,Kansas City 33,2/20/2014,2013-2014,2014,10:30 AM,Thursday,Raytown,Missouri,public,175,1,0,1,targeted,42,m,b,father of student,0,,,,,,,,,,,,,,,0,.45-caliber handgun ,legally purchased at pawn shop that morning,39.094,-94.5688,28.4,KG,12,,Jackson County,29,29095,11
163,130228000967,Benjamin Banneker High School,1302280,Fulton County,3/25/2014,2013-2014,2014,1:00 PM,Tuesday,College Park,Georgia,public,1537,0,0,0,targeted,,,,,0,,,,,,,,3,1483,41,2,1,0,7,1,,,33.593,-84.5176,100.7,9,12,1376,Fulton County,13,13121,21
164,370001201495,D. H. Conley High School,3700012,Pitt County Schools,4/9/2014,2013-2014,2014,1:30 PM,Wednesday,Greenville,North Carolina,public,1591,0,0,0,indiscriminate,17,m,b,student at rival school,0,,17,m,w,student at rival school,0,,973,395,138,27,5,0,53,0,.45-caliber handgun,,35.5306,-77.3248,87.89,9,12,528,Pitt County,37,37147,41
165,411052001009,Reynolds High School,4110520,Reynolds SD 7,6/10/2014,2013-2014,2014,8:07 AM,Tuesday,Troutdale,Oregon,public,2806,1,1,2,indiscriminate,15,m,w,student,1,suicide,,,,,,,1208,231,917,263,21,41,125,1,M4 AR-15 rifle,brother,45.5285,-122.4026,106.78,9,12,1744,Multnomah County,41,41051,21
